Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Процессор Intel Pentium G4620 3.7GHz/8GT/s/3MB (BX80677G4620) s1151 BOX
Процессор Intel Core i5-7400 3.0GHz/8GT/s/6MB (BX80677I57400) s1151 BOX
Процессор Intel Pentium G4400 3.3GHz/8GT/s/3MB (BX80662G4400) s1151 BOX
Процессор Intel Core i5-7500 3.4GHz/8GT/s/6MB (BX80677I57500) s1151 BOX
Процессор Intel Pentium G4560 3.5GHz/8GT/s/3MB (BX80677G4560) s1151 BOX
Процессор AMD Ryzen 7 1700 3.0GHz/16MB (YD1700BBAEBOX) sAM4 BOX
Процессор Intel Core i7-7700K 4.2GHz/8GT/s/8MB (BX80677I77700K) s1151 BOX
Процессор Intel Core i3-6100 3.7GHz/8GT/s/3MB (BX80662I36100) s1151 BOX
Процессор AMD Ryzen 5 1600 3.2GHz/16MB (YD1600BBAEBOX) sAM4 BOX
Процессор AMD Ryzen 5 1400 3.2GHz/8MB (YD1400BBAEBOX) sAM4 BOX
Процессор AMD Ryzen 3 1300X 3.5GHz/8MB (YD130XBBAEBOX) sAM4 BOX
Процессор AMD Ryzen 5 1600X 3.6GHz/16MB (YD160XBCAEWOF) sAM4 BOX
Процессор Intel Core i5-8600K 3.6GHz/8GT/s/9MB (BX80684I58600K) s1151 BOX
Процессор AMD Ryzen 3 1200 3.1GHz/8MB (YD1200BBAEBOX) sAM4 BOX
Процессор Intel Core i7-8700K 3.7GHz/8GT/s/12MB (BX80684I78700K) s1151 BOX
Процессор Intel Core i3-8100 3.6GHz/8GT/s/6MB (BX80684I38100) s1151 BOX
Процессор AMD Ryzen 7 1800X 3.6GHz/16MB (YD180XBCAEWOF) sAM4 BOX
Процессор AMD Ryzen Threadripper 1920X 3.5GHz/32MB (YD192XA8AEWOF) sTR4 BOX
Процессор Intel Core i3-8350K 4.0GHz/8GT/s/8MB (BX80684I38350K) s1151 BOX
Процессор Intel Pentium G4600 3.6GHz/8GT/s/3MB (BX80677G4600) s1151 BOX
Процессор Intel Core i5-7600 3.5GHz/8GT/s/6MB (BX80677I57600) s1151 BOX
Процессор Intel Core i7-7700 3.6GHz/8GT/s/8MB (BX80677I77700) s1151 BOX
Процессор AMD Athlon X4 880K 4.0GHz/4MB (AD880KXBJCSBX) sFM2+ BOX
Процессор Intel Core i5-7600K 3.8GHz/8GT/s/6MB (BX80677I57600K) s1151 BOX
Процессор AMD FX-4320 4.0GHz/8MB (FD4320WMHKBOX) sAM3+ BOX
Процессор Intel Core i5-6400 2.7GHz/8GT/s/6MB (BX80662I56400) s1151 BOX
Процессор Intel Pentium G3260 3.3GHz/5GT/s/3MB (BX80646G3260) s1150 BOX
Процессор Intel Celeron G3930 2.9GHz/8GT/s/2MB (BX80677G3930) s1151 BOX
Процессор AMD FX-Series FX-8370 4GHz/8MB (FD8370FRHKBOX) sAM3+ BOX
Процессор AMD Ryzen 7 1700X 3.4GHz/16MB (YD170XBCAEWOF) sAM4 BOX
Процессор Intel Core i5-7640X X-Series 4GHz/8GT/s/6MB (BX80677I57640X) s2066 BOX
Материнская плата Asus H110M-K (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI B250M Pro-VD (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B250M-K (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B250-Plus (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus M5A78L-M LX3 (sAM3+, AMD 760G, PCI-Ex16)
Материнская плата Asus A68HM-K (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата Gigabyte GA-H81M-S2V (s1150, Intel H81, PCI-Ex16)
Материнская плата Asus B85M-G (s1150, Intel B85, PCI-Ex16)
Материнская плата ASRock H81M-HDS R2.0 (s1150, H81, PCI-Ex16)
Материнская плата Asus H81M-K (s1150, Intel H81, PCI-Ex16)
Материнская плата Asus Z170-K (s1151, Intel Z170, PCI-Ex16)
Материнская плата MSI H81M-P33 (s1150, Intel H81, PCI-E 2.0x16)
Материнская плата Gigabyte GA-F2A68HM-S1 (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата Asus Z170-P (s1151, Intel Z170, PCI-Ex16)
Материнская плата Asus Strix Z270E Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock H81 Pro BTC R2.0 (s1150, H81, PCIe x16)
Материнская плата Gigabyte GA-H110M-S2 (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI H110M PRO-VD (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Crosshair VI Hero (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus Prime Z270-K (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Prime Z270-A (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus ROG Zenith Extreme (sTR4, AMD X399, PCI-Ex16)
Материнская плата Asus Prime Z370-A (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Prime B250M-A (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus TUF Z370-Plus Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Prime B350M-E (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus X99-A II (s2011-3, Intel X99, PCI-Ex16)
Материнская плата Asus Prime A320M-K (sAM4, AMD A320, PCI-Ex16)
Материнская плата Asus ROG Strix Z370-H Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus M5A78L-M PLUS/USB3 (sAM3+, AMD 760G, PCI-Ex16)
Материнская плата Asus Strix H270I Gaming (s1151, Intel H270, PCI-Ex16)
Материнская плата Asus Maximus IX Formula (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Prime Z270M-Plus (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Strix Z270F Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus N3150I-C (Intel Celeron N3150, SoC, PCI-Ex4)
Материнская плата Asus TUF X299 Mark 1 (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix Z270I Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus ROG Strix Z370-E Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Maximus IX Hero (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Rog Strix Z370-F Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Strix Z270G Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus TUF Z270 Mark 2 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Strix B250F Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus H110T (s1151, Intel H110)
Материнская плата Asus Prime B250-Pro (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B350M-A (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Prime B250M-Plus (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus TUF Z270 Mark 1 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Prime B250M-C (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Strix B250I Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B350M-K (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Prime B350-Plus (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Strix B250G Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Strix B250H Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus H110M-A/M.2 (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus H110-Plus (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus N3050I-C (Intel Celeron N3050, SoC, PCI-Ex4)
Материнская плата Asus Prime Z370-P (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Prime X370-A (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus A68HM-PLUS (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата Asus H110M-D (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Prime X299-Deluxe (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix X370-F Gaming (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus TUF Z370-Pro Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Crosshair VI Extreme (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus H110S1 (s1151, Intel H110)
Материнская плата Asus H110S2 (s1151, Intel H110)
Материнская плата Asus Prime X299-A (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus Prime X399-A (sTR4, AMD X399, PCI-Ex16)
Материнская плата Asus ROG Rampage VI Apex (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix X399-E Gaming (sTR4, AMD X399, PCI-Ex16)
